"","Apis mellifera","Diptera sp1 M_PL_084","Diptera sp3 M_PL_084","Geron seychellarum","Lasioglossum mahense","Lygistorrhina sp1 M_PL_084","Phelsuma sp1 M_PL_084","Polistes olivaceus","Rhiparida seychellensis","Scaptodrosophila sp1 M_PL_084","Unidentified sp2 M_PL_084","Xylocopa caffra","Chalcidoma disjunctum","Coleoptera sp4 M_PL_085","Coleoptera sp5 M_PL_085","Diptera sp1 M_PL_085","Diptera sp3 M_PL_085","Eristalinus vicarians","Hemipyrellia germana","Lygistorrhina sp1 M_PL_085","Nectarinia dussumieri","Parasarcophaga hirticeps","Phelsuma sp1 M_PL_085","Simosyrphus aegyptius","Unidentified sp2 M_PL_085","Diptera sp1 M_PL_086","Diptera sp3 M_PL_086","Diptera sp4 M_PL_086","Hemipyrellia sp1 M_PL_086","Lygistorrhina sp1 M_PL_086","Megachile seychellensis","Musca domestica","Phelsuma sp1 M_PL_086","Physiphoa azurea ","Plagiostenopterina cyanosoma","Unidentified sp2 M_PL_086","Cratopus aurostriatus","Diptera sp1 M_PL_087","Diptera sp3 M_PL_087","Hemipyrellia sp1 M_PL_087","Mabuya sechellensis","Neophyllomyza approximatonervis","Unidentified sp2 M_PL_087","Unidentified sp4 M_PL_087","Diptera sp1 M_PL_088","Hemipyrellia sp1 M_PL_088","Lampides boeticus ","Lygistorrhina sp1 M_PL_088","Ornidia obesa","Phelsuma sp1 M_PL_088","Rhynchium brunneum","Scaptodrosophila sp1 M_PL_088","Unidentified sp2 M_PL_088","Ceratina tabescens","Dichaetomyia fasciculifera","Diptera sp1 M_PL_089","Eagris sabadius","Hymenoptera sp5 M_PL_089","Lygistorrhina sp1 M_PL_089","Phelsuma sp1 M_PL_089","Unidentified sp2 M_PL_089","Unidentified sp3 M_PL_089","Unidentified sp4 M_PL_089","Unidentified sp6 M_PL_089","Diptera sp1 M_PL_090","Diptera sp4 M_PL_090","Euodynerus cylindricus","Melanostoma annulipes","Pachycerina seychellensis","Phelsuma sp1 M_PL_090","Scaptodrosophila sp1 M_PL_090","Tricimba seychellensis","Unidentified sp2 M_PL_090","Unidentified sp3 M_PL_090","Unidentified sp5 M_PL_090","Diptera sp1 M_PL_091","Lygistorrhina sp1 M_PL_091","Phelsuma sp1 M_PL_091","Unidentified sp2 M_PL_091","Unidentified sp3 M_PL_091","Unidentified sp4 M_PL_091","Amblypsilopus sp1 M_PL_092","Diptera sp1 M_PL_092","Hymenoptera sp4 M_PL_092","Lygistorrhina sp1 M_PL_092","Unidentified sp2 M_PL_092","Unidentified sp3 M_PL_092","Diptera sp1 M_PL_093","Diptera sp3 M_PL_093","Diptera sp5 M_PL_093","Hemipyrellia sp1 M_PL_093","Lygistorrhina sp1 M_PL_093","Phelsuma sp1 M_PL_093","Unidentified sp2 M_PL_093","Unidentified sp4 M_PL_093","Diptera sp1 M_PL_094","Diptera sp2 M_PL_094","Leptotes pirithous","Unidentified sp3 M_PL_094","Unidentified sp4 M_PL_094","Diptera sp1 M_PL_095","Hemipyrellia sp1 M_PL_095","Unidentified sp2 M_PL_095","Unidentified sp3 M_PL_095","Diptera sp1 M_PL_096","Diptera sp7 M_PL_096","Forcipomyia sp1 M_PL_096","Lygistorrhina sp1 M_PL_096","Phelsuma sp1 M_PL_096","Scaptodrosophila sp1 M_PL_096","Unidentified sp2 M_PL_096","Unidentified sp3 M_PL_096","Unidentified sp4 M_PL_096","Unidentified sp5 M_PL_096","Unidentified sp6 M_PL_096","Diptera sp1 M_PL_097","Hemipyrellia sp1 M_PL_097","Phelsuma sp1 M_PL_097","Diptera sp7 M_PL_098","Forcipomyia sp1 M_PL_098","Hemipyrellia sp1 M_PL_098","Lygistorrhina sp1 M_PL_098","Phelsuma sp1 M_PL_098","Unidentified sp1 M_PL_098","Unidentified sp2 M_PL_098","Unidentified sp3 M_PL_098","Unidentified sp4 M_PL_098","Unidentified sp5 M_PL_098","Unidentified sp6 M_PL_098","Diptera sp1 M_PL_099","Forcipomyia sp1 M_PL_099","Lygistorrhina sp1 M_PL_099","Phelsuma sp1 M_PL_099","Unidentified sp2 M_PL_099","Unidentified sp3 M_PL_099","Unidentified sp4 M_PL_099","Diptera sp2 M_PL_100","Diptera sp3 M_PL_100","Hymenoptera sp1 M_PL_100","Lygistorrhina sp1 M_PL_100","Phelsuma sp1 M_PL_100","Scaptodrosophila sp1 M_PL_100","Coleoptera sp7 M_PL_101","Diptera sp1 M_PL_101","Diptera sp5 M_PL_101","Diptera sp6 M_PL_101","Diptera sp8 M_PL_101","Neavella albipectus","Perissoma aenescens","Phelsuma sp1 M_PL_101","Scaptodrosophila sp1 M_PL_101","Unidentified sp2 M_PL_101","Unidentified sp3 M_PL_101","Unidentified sp4 M_PL_101","Diptera sp1 M_PL_102","Diptera sp2 M_PL_102","Diptera sp5 M_PL_102","Foudia madagascariensis","Lygistorrhina sp1 M_PL_102","Phelsuma sp1 M_PL_102","Scaptodrosophila sp1 M_PL_102","Unidentified sp3 M_PL_102","Unidentified sp4 M_PL_102","Agrius convolvuli","Diptera sp2 M_PL_103","Forcipomyia sp1 M_PL_103","Lygistorrhina sp1 M_PL_103","Phelsuma sp1 M_PL_103","Unidentified sp1 M_PL_103","Unidentified sp3 M_PL_103","Coleoptera sp5 M_PL_104","Diptera sp1 M_PL_104","Diptera sp4 M_PL_104","Lygistorrhina sp1 M_PL_104","Phelsuma sp1 M_PL_104","Scaptodrosophila sp1 M_PL_104","Unidentified sp2 M_PL_104","Unidentified sp3 M_PL_104","Diptera sp1 M_PL_105","Forcipomyia sp1 M_PL_105","Hymenoptera sp4 M_PL_105","Lygistorrhina sp1 M_PL_105","Phelsuma sp1 M_PL_105","Unidentified sp2 M_PL_105","Unidentified sp3 M_PL_105","Diptera sp4 M_PL_106","Diptera sp5 M_PL_106","Diptera sp6 M_PL_106","Forcipomyia sp1 M_PL_106","Hemipyrellia sp1 M_PL_106","Lygistorrhina sp1 M_PL_106","Scaptodrosophila sp1 M_PL_106","Unidentified sp1 M_PL_106","Unidentified sp2 M_PL_106","Unidentified sp3 M_PL_106","Diptera sp1 M_PL_107","Diptera sp4 M_PL_107","Hemipyrellia sp1 M_PL_107","Lygistorrhina sp1 M_PL_107","Phelsuma sp1 M_PL_107","Scaptodrosophila sp1 M_PL_107","Unidentified sp2 M_PL_107","Unidentified sp3 M_PL_107","Diptera sp1 M_PL_108","Hemipyrellia sp1 M_PL_108","Lygistorrhina sp1 M_PL_108","Phalanta phalantha","Scaptodrosophila sp1 M_PL_108","Hemipyrellia sp1 M_PL_109","Hymenoptera sp1 M_PL_109","Lygistorrhina sp1 M_PL_109","Hemipyrellia sp1 M_PL_110","Diptera sp1 M_PL_111","Diptera sp3 M_PL_111","Hemipyrellia sp1 M_PL_111","Lygistorrhina sp1 M_PL_111","Phelsuma sp1 M_PL_111","Unidentified sp2 M_PL_111","Unidentified sp4 M_PL_111","Diptera sp2 M_PL_112","Hemipyrellia sp1 M_PL_112","Lygistorrhina sp1 M_PL_112","Phelsuma sp1 M_PL_112","Unidentified sp1 M_PL_112","Phelsuma sp1 M_PL_113","Unidentified sp1 M_PL_113","Diptera sp1 M_PL_114","Hemipyrellia sp1 M_PL_114","Lygistorrhina sp1 M_PL_114","Phelsuma sp1 M_PL_114","Unidentified sp2 M_PL_114","Unidentified sp3 M_PL_114","Unidentified sp4 M_PL_114","Unidentified sp5 M_PL_114","Diptera sp1 M_PL_115","Hemipyrellia sp1 M_PL_115","Lygistorrhina sp1 M_PL_115","Phelsuma sp1 M_PL_115","Unidentified sp2 M_PL_115","Unidentified sp3 M_PL_115","Unidentified sp4 M_PL_115","Trypoxylon errans","Hemipyrellia sp1 M_PL_117","Diptera sp1 M_PL_118","Hemipyrellia sp1 M_PL_118","Lygistorrhina sp1 M_PL_118","Phelsuma sp1 M_PL_118","Unidentified sp2 M_PL_118","Diptera sp1 M_PL_119","Diptera sp3 M_PL_119","Diptera sp4 M_PL_119","Hemipyrellia sp1 M_PL_119","Lygistorrhina sp1 M_PL_119","Phelsuma sp1 M_PL_119","Unidentified sp2 M_PL_119","Unidentified sp5 M_PL_119","Lygistorrhina sp1 M_PL_120","Phelsuma sp1 M_PL_120","Scaptodrosophila sp1 M_PL_120","Unidentified sp1 M_PL_120","Unidentified sp2 M_PL_120","Unidentified sp3 M_PL_120","Unidentified sp4 M_PL_120","Diptera sp1 M_PL_121","Forcipomyia litoraurea","Forcipomyia sp1 M_PL_121","Lygistorrhina sp1 M_PL_121","Phelsuma sp1 M_PL_121","Unidentified sp2 M_PL_121","Unidentified sp3 M_PL_121","Unidentified sp4 M_PL_121","Unidentified sp5 M_PL_121","Unidentified sp6 M_PL_121","Unidentified sp7 M_PL_121","Diptera sp3 M_PL_122","Eristalodes seychellarum","Phelsuma sp1 M_PL_122","Scaptodrosophila sp1 M_PL_122","Unidentified sp1 M_PL_122","Unidentified sp2 M_PL_122","Diptera sp2 M_PL_123","Hemipyrellia sp1 M_PL_123","Phelsuma sp1 M_PL_123","Scaptodrosophila sp1 M_PL_123","Unidentified sp1 M_PL_123","Unidentified sp3 M_PL_123","Unidentified sp4 M_PL_123","Unidentified sp5 M_PL_123","Diptera sp1 M_PL_124","Diptera sp3 M_PL_124","Diptera sp4 M_PL_124","Lygistorrhina sp1 M_PL_124","Unidentified sp2 M_PL_124","Diptera sp1 M_PL_125","Diptera sp3 M_PL_125","Lygistorrhina sp1 M_PL_125","Unidentified sp2 M_PL_125","Unidentified sp4 M_PL_125","Diptera sp1 M_PL_126","Diptera sp2 M_PL_126","Diptera sp3 M_PL_126","Diptera sp4 M_PL_126","Hemipyrellia sp1 M_PL_126","Lygistorrhina sp1 M_PL_126","Unidentified sp5 M_PL_126","Diptera sp1 M_PL_127","Hemipyrellia sp1 M_PL_127","Lygistorrhina sp1 M_PL_127","Unidentified sp2 M_PL_127","Diptera sp1 M_PL_128","Diptera sp2 M_PL_128","Diptera sp7 M_PL_128","Forcipomyia sp1 M_PL_128","Hymenoptera sp5 M_PL_128","Lygistorrhina sp1 M_PL_128","Phelsuma sp1 M_PL_128","Unidentified sp3 M_PL_128","Unidentified sp4 M_PL_128","Unidentified sp6 M_PL_128","Diptera sp1 M_PL_129","Hemipyrellia sp1 M_PL_129","Phelsuma sp1 M_PL_129","Unidentified sp2 M_PL_129","Unidentified sp3 M_PL_129","Diptera sp1 M_PL_130","Diptera sp6 M_PL_130","Diptera sp7 M_PL_130","Forcipomyia sp1 M_PL_130","Hemipyrellia sp1 M_PL_130","Lygistorrhina sp1 M_PL_130","Phelsuma sp1 M_PL_130","Scaptodrosophila sp1 M_PL_130","Unidentified sp2 M_PL_130","Unidentified sp3 M_PL_130","Unidentified sp4 M_PL_130","Unidentified sp5 M_PL_130","Diptera sp2 M_PL_131","Hemipyrellia sp1 M_PL_131","Lygistorrhina sp1 M_PL_131","Phelsuma sp1 M_PL_131","Unidentified sp1 M_PL_131"
"Excoecaria benthiamiana",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia",50,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craterispermum microdon",34,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glionnetia sericea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastonia crassa",56,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
"Chrysobalanus icaco",295,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,2,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna kirkii",3,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraserianthes falcataria",10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia pyrifolia",1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes pervillei",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
