"plantas","Apis.mellifera","Diptera.sp1.M.PL.084","Diptera.sp3.M.PL.084","Geron.seychellarum","Lasioglossum.mahense","Lygistorrhina.sp1.M.PL.084","Phelsuma.sp1.M.PL.084","Polistes.olivaceus","Rhiparida.seychellensis","Scaptodrosophila.sp1.M.PL.084","Unidentified.sp2.M.PL.084","Xylocopa.caffra","Chalcidoma.disjunctum","Coleoptera.sp4.M.PL.085","Coleoptera.sp5.M.PL.085","Diptera.sp1.M.PL.085","Diptera.sp3.M.PL.085","Eristalinus.vicarians","Hemipyrellia.germana","Lygistorrhina.sp1.M.PL.085","Nectarinia.dussumieri","Parasarcophaga.hirticeps","Phelsuma.sp1.M.PL.085","Simosyrphus.aegyptius","Unidentified.sp2.M.PL.085","Diptera.sp1.M.PL.086","Diptera.sp3.M.PL.086","Diptera.sp4.M.PL.086","Hemipyrellia.sp1.M.PL.086","Lygistorrhina.sp1.M.PL.086","Megachile.seychellensis","Musca.domestica","Phelsuma.sp1.M.PL.086","Physiphoa.azurea","Plagiostenopterina.cyanosoma","Unidentified.sp2.M.PL.086","Cratopus.aurostriatus","Diptera.sp1.M.PL.087","Diptera.sp3.M.PL.087","Hemipyrellia.sp1.M.PL.087","Mabuya.sechellensis","Neophyllomyza.approximatonervis","Unidentified.sp2.M.PL.087","Unidentified.sp4.M.PL.087","Diptera.sp1.M.PL.088","Hemipyrellia.sp1.M.PL.088","Lampides.boeticus","Lygistorrhina.sp1.M.PL.088","Ornidia.obesa","Phelsuma.sp1.M.PL.088","Rhynchium.brunneum","Scaptodrosophila.sp1.M.PL.088","Unidentified.sp2.M.PL.088","Ceratina.tabescens","Dichaetomyia.fasciculifera","Diptera.sp1.M.PL.089","Eagris.sabadius","Hymenoptera.sp5.M.PL.089","Lygistorrhina.sp1.M.PL.089","Phelsuma.sp1.M.PL.089","Unidentified.sp2.M.PL.089","Unidentified.sp3.M.PL.089","Unidentified.sp4.M.PL.089","Unidentified.sp6.M.PL.089","Diptera.sp1.M.PL.090","Diptera.sp4.M.PL.090","Euodynerus.cylindricus","Melanostoma.annulipes","Pachycerina.seychellensis","Phelsuma.sp1.M.PL.090","Scaptodrosophila.sp1.M.PL.090","Tricimba.seychellensis","Unidentified.sp2.M.PL.090","Unidentified.sp3.M.PL.090","Unidentified.sp5.M.PL.090","Diptera.sp1.M.PL.091","Lygistorrhina.sp1.M.PL.091","Phelsuma.sp1.M.PL.091","Unidentified.sp2.M.PL.091","Unidentified.sp3.M.PL.091","Unidentified.sp4.M.PL.091","Amblypsilopus.sp1.M.PL.092","Diptera.sp1.M.PL.092","Hymenoptera.sp4.M.PL.092","Lygistorrhina.sp1.M.PL.092","Unidentified.sp2.M.PL.092","Unidentified.sp3.M.PL.092","Diptera.sp1.M.PL.093","Diptera.sp3.M.PL.093","Diptera.sp5.M.PL.093","Hemipyrellia.sp1.M.PL.093","Lygistorrhina.sp1.M.PL.093","Phelsuma.sp1.M.PL.093","Unidentified.sp2.M.PL.093","Unidentified.sp4.M.PL.093","Diptera.sp1.M.PL.094","Diptera.sp2.M.PL.094","Leptotes.pirithous","Unidentified.sp3.M.PL.094","Unidentified.sp4.M.PL.094","Diptera.sp1.M.PL.095","Hemipyrellia.sp1.M.PL.095","Unidentified.sp2.M.PL.095","Unidentified.sp3.M.PL.095","Diptera.sp1.M.PL.096","Diptera.sp7.M.PL.096","Forcipomyia.sp1.M.PL.096","Lygistorrhina.sp1.M.PL.096","Phelsuma.sp1.M.PL.096","Scaptodrosophila.sp1.M.PL.096","Unidentified.sp2.M.PL.096","Unidentified.sp3.M.PL.096","Unidentified.sp4.M.PL.096","Unidentified.sp5.M.PL.096","Unidentified.sp6.M.PL.096","Diptera.sp1.M.PL.097","Hemipyrellia.sp1.M.PL.097","Phelsuma.sp1.M.PL.097","Diptera.sp7.M.PL.098","Forcipomyia.sp1.M.PL.098","Hemipyrellia.sp1.M.PL.098","Lygistorrhina.sp1.M.PL.098","Phelsuma.sp1.M.PL.098","Unidentified.sp1.M.PL.098","Unidentified.sp2.M.PL.098","Unidentified.sp3.M.PL.098","Unidentified.sp4.M.PL.098","Unidentified.sp5.M.PL.098","Unidentified.sp6.M.PL.098","Diptera.sp1.M.PL.099","Forcipomyia.sp1.M.PL.099","Lygistorrhina.sp1.M.PL.099","Phelsuma.sp1.M.PL.099","Unidentified.sp2.M.PL.099","Unidentified.sp3.M.PL.099","Unidentified.sp4.M.PL.099","Diptera.sp2.M.PL.100","Diptera.sp3.M.PL.100","Hymenoptera.sp1.M.PL.100","Lygistorrhina.sp1.M.PL.100","Phelsuma.sp1.M.PL.100","Scaptodrosophila.sp1.M.PL.100","Coleoptera.sp7.M.PL.101","Diptera.sp1.M.PL.101","Diptera.sp5.M.PL.101","Diptera.sp6.M.PL.101","Diptera.sp8.M.PL.101","Neavella.albipectus","Perissoma.aenescens","Phelsuma.sp1.M.PL.101","Scaptodrosophila.sp1.M.PL.101","Unidentified.sp2.M.PL.101","Unidentified.sp3.M.PL.101","Unidentified.sp4.M.PL.101","Diptera.sp1.M.PL.102","Diptera.sp2.M.PL.102","Diptera.sp5.M.PL.102","Foudia.madagascariensis","Lygistorrhina.sp1.M.PL.102","Phelsuma.sp1.M.PL.102","Scaptodrosophila.sp1.M.PL.102","Unidentified.sp3.M.PL.102","Unidentified.sp4.M.PL.102","Agrius.convolvuli","Diptera.sp2.M.PL.103","Forcipomyia.sp1.M.PL.103","Lygistorrhina.sp1.M.PL.103","Phelsuma.sp1.M.PL.103","Unidentified.sp1.M.PL.103","Unidentified.sp3.M.PL.103","Coleoptera.sp5.M.PL.104","Diptera.sp1.M.PL.104","Diptera.sp4.M.PL.104","Lygistorrhina.sp1.M.PL.104","Phelsuma.sp1.M.PL.104","Scaptodrosophila.sp1.M.PL.104","Unidentified.sp2.M.PL.104","Unidentified.sp3.M.PL.104","Diptera.sp1.M.PL.105","Forcipomyia.sp1.M.PL.105","Hymenoptera.sp4.M.PL.105","Lygistorrhina.sp1.M.PL.105","Phelsuma.sp1.M.PL.105","Unidentified.sp2.M.PL.105","Unidentified.sp3.M.PL.105","Diptera.sp4.M.PL.106","Diptera.sp5.M.PL.106","Diptera.sp6.M.PL.106","Forcipomyia.sp1.M.PL.106","Hemipyrellia.sp1.M.PL.106","Lygistorrhina.sp1.M.PL.106","Scaptodrosophila.sp1.M.PL.106","Unidentified.sp1.M.PL.106","Unidentified.sp2.M.PL.106","Unidentified.sp3.M.PL.106","Diptera.sp1.M.PL.107","Diptera.sp4.M.PL.107","Hemipyrellia.sp1.M.PL.107","Lygistorrhina.sp1.M.PL.107","Phelsuma.sp1.M.PL.107","Scaptodrosophila.sp1.M.PL.107","Unidentified.sp2.M.PL.107","Unidentified.sp3.M.PL.107","Diptera.sp1.M.PL.108","Hemipyrellia.sp1.M.PL.108","Lygistorrhina.sp1.M.PL.108","Phalanta.phalantha","Scaptodrosophila.sp1.M.PL.108","Hemipyrellia.sp1.M.PL.109","Hymenoptera.sp1.M.PL.109","Lygistorrhina.sp1.M.PL.109","Hemipyrellia.sp1.M.PL.110","Diptera.sp1.M.PL.111","Diptera.sp3.M.PL.111","Hemipyrellia.sp1.M.PL.111","Lygistorrhina.sp1.M.PL.111","Phelsuma.sp1.M.PL.111","Unidentified.sp2.M.PL.111","Unidentified.sp4.M.PL.111","Diptera.sp2.M.PL.112","Hemipyrellia.sp1.M.PL.112","Lygistorrhina.sp1.M.PL.112","Phelsuma.sp1.M.PL.112","Unidentified.sp1.M.PL.112","Phelsuma.sp1.M.PL.113","Unidentified.sp1.M.PL.113","Diptera.sp1.M.PL.114","Hemipyrellia.sp1.M.PL.114","Lygistorrhina.sp1.M.PL.114","Phelsuma.sp1.M.PL.114","Unidentified.sp2.M.PL.114","Unidentified.sp3.M.PL.114","Unidentified.sp4.M.PL.114","Unidentified.sp5.M.PL.114","Diptera.sp1.M.PL.115","Hemipyrellia.sp1.M.PL.115","Lygistorrhina.sp1.M.PL.115","Phelsuma.sp1.M.PL.115","Unidentified.sp2.M.PL.115","Unidentified.sp3.M.PL.115","Unidentified.sp4.M.PL.115","Trypoxylon.errans","Hemipyrellia.sp1.M.PL.117","Diptera.sp1.M.PL.118","Hemipyrellia.sp1.M.PL.118","Lygistorrhina.sp1.M.PL.118","Phelsuma.sp1.M.PL.118","Unidentified.sp2.M.PL.118","Diptera.sp1.M.PL.119","Diptera.sp3.M.PL.119","Diptera.sp4.M.PL.119","Hemipyrellia.sp1.M.PL.119","Lygistorrhina.sp1.M.PL.119","Phelsuma.sp1.M.PL.119","Unidentified.sp2.M.PL.119","Unidentified.sp5.M.PL.119","Lygistorrhina.sp1.M.PL.120","Phelsuma.sp1.M.PL.120","Scaptodrosophila.sp1.M.PL.120","Unidentified.sp1.M.PL.120","Unidentified.sp2.M.PL.120","Unidentified.sp3.M.PL.120","Unidentified.sp4.M.PL.120","Diptera.sp1.M.PL.121","Forcipomyia.litoraurea","Forcipomyia.sp1.M.PL.121","Lygistorrhina.sp1.M.PL.121","Phelsuma.sp1.M.PL.121","Unidentified.sp2.M.PL.121","Unidentified.sp3.M.PL.121","Unidentified.sp4.M.PL.121","Unidentified.sp5.M.PL.121","Unidentified.sp6.M.PL.121","Unidentified.sp7.M.PL.121","Diptera.sp3.M.PL.122","Eristalodes.seychellarum","Phelsuma.sp1.M.PL.122","Scaptodrosophila.sp1.M.PL.122","Unidentified.sp1.M.PL.122","Unidentified.sp2.M.PL.122","Diptera.sp2.M.PL.123","Hemipyrellia.sp1.M.PL.123","Phelsuma.sp1.M.PL.123","Scaptodrosophila.sp1.M.PL.123","Unidentified.sp1.M.PL.123","Unidentified.sp3.M.PL.123","Unidentified.sp4.M.PL.123","Unidentified.sp5.M.PL.123","Diptera.sp1.M.PL.124","Diptera.sp3.M.PL.124","Diptera.sp4.M.PL.124","Lygistorrhina.sp1.M.PL.124","Unidentified.sp2.M.PL.124","Diptera.sp1.M.PL.125","Diptera.sp3.M.PL.125","Lygistorrhina.sp1.M.PL.125","Unidentified.sp2.M.PL.125","Unidentified.sp4.M.PL.125","Diptera.sp1.M.PL.126","Diptera.sp2.M.PL.126","Diptera.sp3.M.PL.126","Diptera.sp4.M.PL.126","Hemipyrellia.sp1.M.PL.126","Lygistorrhina.sp1.M.PL.126","Unidentified.sp5.M.PL.126","Diptera.sp1.M.PL.127","Hemipyrellia.sp1.M.PL.127","Lygistorrhina.sp1.M.PL.127","Unidentified.sp2.M.PL.127","Diptera.sp1.M.PL.128","Diptera.sp2.M.PL.128","Diptera.sp7.M.PL.128","Forcipomyia.sp1.M.PL.128","Hymenoptera.sp5.M.PL.128","Lygistorrhina.sp1.M.PL.128","Phelsuma.sp1.M.PL.128","Unidentified.sp3.M.PL.128","Unidentified.sp4.M.PL.128","Unidentified.sp6.M.PL.128","Diptera.sp1.M.PL.129","Hemipyrellia.sp1.M.PL.129","Phelsuma.sp1.M.PL.129","Unidentified.sp2.M.PL.129","Unidentified.sp3.M.PL.129","Diptera.sp1.M.PL.130","Diptera.sp6.M.PL.130","Diptera.sp7.M.PL.130","Forcipomyia.sp1.M.PL.130","Hemipyrellia.sp1.M.PL.130","Lygistorrhina.sp1.M.PL.130","Phelsuma.sp1.M.PL.130","Scaptodrosophila.sp1.M.PL.130","Unidentified.sp2.M.PL.130","Unidentified.sp3.M.PL.130","Unidentified.sp4.M.PL.130","Unidentified.sp5.M.PL.130","Diptera.sp2.M.PL.131","Hemipyrellia.sp1.M.PL.131","Lygistorrhina.sp1.M.PL.131","Phelsuma.sp1.M.PL.131","Unidentified.sp1.M.PL.131"
"Northea.hornei",43,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excoecaria.benthiamiana",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum.senacia",50,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma.seychellarum",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craterispermum.microdon",34,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia.theiformis",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glionnetia.sericea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastonia.crassa",56,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
"Chrysobalanus.icaco",295,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,2,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna.kirkii",3,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraserianthes.falcataria",10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
